Sample_ID,DWV_Cq,Reference_Cq,DWV_presence,Taxa,Family,Subfamily,Genus,Species,Sex,Apiary_ID,Julian_Day
Apiary_9_091220_P1,32.44,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_9,256
Apiary_8_091320_P8,32.45,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_8,257
Apiary_16_091020_P7,32.48,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_16,254
Apiary_1_100120_P1,32.48,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_1,275
Apiary_4_091420_P20,32.48,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_4,258
Apiary_19_092720_P9,32.53,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_19,271
Apiary_4_091420_P11,32.6,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,U,Apiary_4,258
Apiary_21_091020_P8,32.6,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_21,254
Apiary_7_100520_P18,32.61,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_7,279
Apiary_16_091020_P1,32.61,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_16,254
Apiary_3_091520_P6,32.62,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_3,259
Apiary_15_091620_P7,32.66,14.65,1,wild bee,Apidae,NA,Melissodes,Melissodes sp.,U,Apiary_15,260
Apiary_24_092320_P11,32.71,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_24,267
Apiary_6_092020_P7,32.72,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_6,264
Apiary_19_091820_P9,32.74,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_19,262
Apiary_26_090720_P2,32.76,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_26,251
Apiary_26_090720_P8,32.78,15.19,1,wild bee,Halictidae,NA,Augochlora,Augochlora sp.,F,Apiary_26,251
Apiary_5_091420_P23,32.81,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_5,258
Apiary_7_100520_P14,32.84,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_7,279
Apiary_4_091420_P5,32.84,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_4,258
Apiary_3_092420_P16,32.87,none,1,bumble,Apidae,NA,Bombus,Bombus bimaculatus,M,Apiary_3,268
Apiary_4_091420_P16,32.88,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_4,258
Apiary_13_092320_P2,32.88,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_13,267
Apiary_2_091920_P24,32.9,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_2,263
Apiary_8_091320_P16,32.9,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_8,257
Apiary_24_091220_P6,32.9,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_24,256
Apiary_23_092120_P9,32.99,17.21,1,wild bee,Halictidae,NA,Agapostemon,Agapostemon sp.,U,Apiary_23,265
Apiary_1_091520_P20,32.99,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_1,259
Apiary_17_092220_P7,33.01,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_17,266
Apiary_11_092120_P5,33.01,none,1,bumble,Apidae,NA,Bombus,Bombus vagans,W,Apiary_11,265
Apiary_2_090420_P12,33.03,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_2,248
Apiary_21_091020_P2,33.04,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_21,254
Apiary_17_092220_P8,33.04,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_17,266
Apiary_7_100520_P5,33.06,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_7,279
Apiary_13_092320_P20,33.08,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_13,267
Apiary_7_100520_P8,33.1,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_7,279
Apiary_13_092320_P22,33.11,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_13,267
Apiary_25_091120_P1,33.11,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_25,255
Apiary_10_092220_P10,33.12,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_10,266
Apiary_2_091920_P12,33.12,none,1,bumble,Apidae,NA,Bombus,Bombus vagans,M,Apiary_2,263
Apiary_10_092220_P9,33.15,none,1,bumble,Apidae,NA,Bombus,Bombus vagans,M,Apiary_10,266
Apiary_13_090920_P10,33.155,24.60666667,1,syrphid,Syrphidae,Syrphinae,unknown,unknown,F,Apiary_13,253
Apiary_1_091520_P1,33.16,none,1,bumble,Apidae,NA,Bombus,Bombus bimaculatus,M,Apiary_1,259
Apiary_4_091420_P19,33.16,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_4,258
Apiary_26_090720_P16,33.19,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,W,Apiary_26,251
Apiary_4_091420_P25,33.2,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_4,258
Apiary_11_091120_P7,33.2,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_11,255
Apiary_17_092220_P5,33.21,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,F,Apiary_17,266
Apiary_13_090920_P7,33.22,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_13,253
Apiary_5_091420_P12,33.22,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,Q,Apiary_5,258
Apiary_3_091520_P10,33.24,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_3,259
Apiary_9_092220_P11,33.245,15.77666667,1,wild bee,Apidae,NA,Anthophora,Anthophora sp.,F,Apiary_9,266
Apiary_3_092420_P6,33.25,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_3,268
Apiary_18_092220_P7,33.28,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_18,266
Apiary_22_091420_P10,33.29,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_22,258
Apiary_13_090920_P4,33.31,none,1,wild bee,Apidae,NA,Xylocopa,Xylocopa virginica,U,Apiary_13,253
Apiary_6_092020_P11,33.34,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,F,Apiary_6,264
Apiary_5_091420_P6,33.38,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_5,258
Apiary_4_091420_P15,33.4,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_4,258
Apiary_13_092320_P21,33.4,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_13,267
Apiary_13_090920_P6,33.41,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,F,Apiary_13,253
Apiary_2_091920_P14,33.44,none,1,bumble,Apidae,NA,Bombus,Bombus vagans,M,Apiary_2,263
Apiary_8_100220_P4,33.45,26.84333333,1,wild bee,Megachilidae,NA,Megachile,Megachile sp.,F,Apiary_8,276
Apiary_2_091920_P21,33.46,none,1,bumble,Apidae,NA,Bombus,Bombus vagans,M,Apiary_2,263
Apiary_15_091620_P13,33.47,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_15,260
Apiary_21_092020_P2,33.47,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_21,264
Apiary_14_092320_P1,33.49,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,Q,Apiary_14,267
Apiary_25_091120_P5,33.49,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_25,255
Apiary_13_092320_P12,33.51,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_13,267
Apiary_17_090820_P8,33.51,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_17,252
Apiary_2_090420_P4,33.535,14.67333333,1,wild bee,Andrenidae,NA,Andrena,Andrena sp.,U,Apiary_2,248
Apiary_5_091420_P10,33.54,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,W,Apiary_5,258
Apiary_3_091520_P8,33.57,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_3,259
Apiary_5_091420_P15,33.6,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_5,258
Apiary_2_091920_P7,33.62,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_2,263
Apiary_13_092320_P9,33.63,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_13,267
Apiary_7_100520_P13,33.66,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_7,279
Apiary_27_092820_P12,33.66,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_27,272
Apiary_22_091420_P1,33.67,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_22,258
Apiary_5_091420_P18,33.695,15.06,1,wild bee,Apidae,NA,Melissodes,Melissodes sp.,U,Apiary_5,258
Apiary_7_100520_P6,33.7,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_7,279
Apiary_17_090820_P15,33.77,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_17,252
Apiary_24_092320_P15,33.77,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_24,267
Apiary_25_092120_P18,33.77,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_25,265
Apiary_12_092620_P3,33.79,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_12,270
Apiary_3_092420_P5,33.83,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_3,268
Apiary_19_091820_P17,33.86,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_19,262
Apiary_24_092320_P1,33.86,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_24,267
Apiary_9_091220_P7,33.91,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,F,Apiary_9,256
Apiary_1_091520_P8,33.91,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_1,259
Apiary_20_092720_P14,33.91,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_20,271
Apiary_8_091320_P10,33.98,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_8,257
Apiary_2_091920_P11,33.98,none,1,bumble,Apidae,NA,Bombus,Bombus vagans,M,Apiary_2,263
Apiary_12_092620_P6,33.99,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_12,270
Apiary_19_092720_P5,33.99,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_19,271
Apiary_8_100220_P18,34.025,22.25333333,1,syrphid,Syrphidae,Eristalinae,Eristalis,Eristalis tenax,M,Apiary_8,276
Apiary_9_092220_P17,34.03,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,U,Apiary_9,266
Apiary_25_092120_P7,34.03,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_25,265
Apiary_23_092120_P7,34.04,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,W,Apiary_23,265
Apiary_17_092220_P15,34.04,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_17,266
Apiary_3_092420_P8,34.05,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_3,268
Apiary_18_092220_P14,34.06,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_18,266
Apiary_11_091120_P9,34.06,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_11,255
Apiary_5_091420_P22,34.085,24.71,1,syrphid,Syrphidae,Syrphinae,unknown,unknown,M,Apiary_5,258
Apiary_4_091420_P18,34.09,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_4,258
Apiary_2_091920_P22,34.09,none,1,bumble,Apidae,NA,Bombus,Bombus vagans,M,Apiary_2,263
Apiary_11_092120_P9,34.11,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_11,265
Apiary_8_092520_P8,34.11,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_8,269
Apiary_16_092020_P4,34.115,17.03,1,wild bee,Halictidae,NA,Agapostemon,Agapostemon sp.,M,Apiary_16,264
Apiary_13_092320_P14,34.125,15.77,1,wild bee,Apidae,NA,Xylocopa,Xylocopa  virginica,F,Apiary_13,267
Apiary_18_092220_P19,34.14,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,F,Apiary_18,266
Apiary_2_090420_P6,34.15,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_2,248
Apiary_13_090920_P3,34.15,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_13,253
Apiary_24_092320_P9,34.16,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_24,267
Apiary_8_100220_P3,34.175,21.39333333,1,syrphid,Syrphidae,Eristalinae,Eristalis,Eristalis sp.,F,Apiary_8,276
Apiary_11_091120_P20,34.19,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_11,255
Apiary_18_092220_P1,34.21,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_18,266
Apiary_12_092620_P13,34.22,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_12,270
Apiary_14_090920_P5,34.23,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_14,253
Apiary_20_091820_P3,34.24,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_20,262
Apiary_11_091120_P8,34.28,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_11,255
Apiary_14_092320_P5,34.29,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_14,267
Apiary_25_091120_P3,34.34,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_25,255
Apiary_8_100220_P19,34.34,21.71333333,1,syrphid,Syrphidae,Eristalinae,Eristalis,Eristalis dimidiata,F,Apiary_8,276
Apiary_21_091020_P11,34.35,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_21,254
Apiary_2_091920_P20,34.36,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_2,263
Apiary_10_092220_P8,34.36,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_10,266
Apiary_8_100220_P9,34.375,20.99333333,1,syrphid,Syrphidae,Eristalinae,Eristalis,Eristalis tenax,F,Apiary_8,276
Apiary_12_092620_P5,34.38,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_12,270
Apiary_11_091120_P21,34.39,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,Q,Apiary_11,255
Apiary_2_091920_P6,34.4,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_2,263
Apiary_27_092820_P20,34.42,15.02,1,wild bee,Halictidae,NA,unknown,unknown,F,Apiary_27,272
Apiary_15_091620_P2,34.46,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_15,260
Apiary_2_091920_P15,34.47,none,1,bumble,Apidae,NA,Bombus,Bombus vagans,M,Apiary_2,263
Apiary_27_092820_P17,34.54,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_27,272
Apiary_10_091220_P2,34.55,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_10,256
Apiary_27_092820_P7,34.58,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_27,272
Apiary_19_092720_P15,34.58,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_19,271
Apiary_18_092220_P18,34.585,20.79333333,1,wild bee,Megachilidae,NA,unknown,unknown,M,Apiary_18,266
Apiary_1_100120_P6,34.6,15.77,1,wild bee,Halictidae,NA,unknown,unknown,U,Apiary_1,275
Apiary_1_091520_P12,34.61,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_1,259
Apiary_4_091420_P9,34.62,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,U,Apiary_4,258
Apiary_14_092320_P13,34.63,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_14,267
Apiary_22_091420_P16,34.65,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_22,258
Apiary_13_092320_P16,34.65,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_13,267
Apiary_26_090720_P3,34.68,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_26,251
Apiary_14_092320_P15,34.71,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_14,267
Apiary_18_092220_P16,34.72,20.63666667,1,wild bee,Megachilidae,NA,unknown,unknown,M,Apiary_18,266
Apiary_21_091020_P3,34.74,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_21,254
Apiary_11_091120_P10,34.76,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,U,Apiary_11,255
Apiary_3_091520_P7,34.77,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_3,259
Apiary_17_090820_P10,34.78,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,F,Apiary_17,252
Apiary_23_091120_P8,34.78,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,Q,Apiary_23,255
Apiary_13_092320_P15,34.8,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,W,Apiary_13,267
Apiary_16_091020_P8,34.8,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_16,254
Apiary_5_091420_P17,34.82,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_5,258
Apiary_20_092720_P11,34.825,15.4,1,wild bee,Apidae,NA,Xylocopa,Xylocopa virginica,M,Apiary_20,271
Apiary_24_091220_P7,34.83,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,F,Apiary_24,256
Apiary_10_092220_P5,34.86,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_10,266
Apiary_20_091820_P25,34.86,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_20,262
Apiary_13_092320_P19,34.87,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_13,267
Apiary_12_092620_P7,34.87,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_12,270
Apiary_13_092320_P11,34.9,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,W,Apiary_13,267
Apiary_22_091420_P6,34.9,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_22,258
Apiary_21_091020_P13,34.9,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,U,Apiary_21,254
Apiary_14_090920_P15,34.93,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,W,Apiary_14,253
Apiary_21_091020_P7,34.94,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_21,254
Apiary_9_091220_P12,34.97,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_9,256
Apiary_9_091220_P14,34.975,15.04666667,1,wild bee,Apidae,NA,Melissodes,Melissodes sp.,U,Apiary_9,256
Apiary_20_091820_P14,34.98,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,F,Apiary_20,262
Apiary_3_092420_P3,34.98,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_3,268
Apiary_20_091820_P27,34.99,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_20,262
Apiary_3_092420_P10,25.293333333333333,23.18,1,syrphid,Syrphidae,Syrphinae,Toxomerus,Toxomerus geminatus,M,Apiary_3,268
Apiary_14_090920_P12,26.416666666666668,14.92333333,1,wild bee,Halictidae,NA,unknown,unknown,F,Apiary_14,253
Apiary_13_092320_P17,27.14666666666667,15.76,1,wild bee,Apidae,NA,Xylocopa,Xylocopa  virginica,F,Apiary_13,267
Apiary_6_092020_P13,27.21333333333333,15.96333333,1,wild bee,Unknown,NA,unknown,unknown,F,Apiary_6,264
Apiary_14_090920_P13,27.543333333333333,19.43666667,1,wild bee,Halictidae,NA,Lasioglossum,Lasioglossum sp.,U,Apiary_14,253
Apiary_14_090920_P11,28.596666666666664,21.45,1,syrphid,Syrphidae,Eristalinae,Eristalis,Eristalis sp.,F,Apiary_14,253
Apiary_13_090920_P12,28.924999999999997,30.10666667,1,syrphid,Syrphidae,Syrphinae,Toxomerus,Toxomerus marginatus,M,Apiary_13,253
Apiary_6_092020_P17,29.373333333333335,16.94,1,wild bee,Halictidae,NA,Agapostemon,Agapostemon sp.,M,Apiary_6,264
Apiary_18_090820_P11,29.776666666666667,20.46333333,1,wild bee,Halictidae,NA,Lasioglossum,Lasioglossum sp.,M,Apiary_18,252
Apiary_21_092020_P13,29.94333333333333,17.26333333,1,wild bee,Halictidae,NA,Agapostemon,Agapostemon sp.,U,Apiary_21,264
Apiary_14_090920_P9,29.963333333333335,19.7,1,syrphid,Syrphidae,Eristalinae,Eristalis,Eristalis arbustorum,M,Apiary_14,253
Apiary_23_092120_P4,29.986666666666668,15.20333333,1,wild bee,Apidae,NA,Xylocopa,Xylocopa virginica,F,Apiary_23,265
Apiary_24_091220_P9,31.005000000000003,14.28,1,wild bee,Apidae,NA,Melissodes,Melissodes sp.,U,Apiary_24,256
Apiary_8_092520_P12,31.406666666666663,21.20666667,1,syrphid,Syrphidae,Eristalinae,Eristalis,Eristalis tenax,M,Apiary_8,269
Apiary_10_092220_P7,31.854999999999997,14.58,1,syrphid,Syrphidae,Syrphinae,Platycheirus/Melanostoma,unknown,F,Apiary_10,266
Apiary_27_090720_P8,32.04333333333333,26.99666667,1,wild bee,Megachilidae,NA,Megachile,Megachile sp.,M,Apiary_27,251
Apiary_8_092520_P5,32.18666666666667,14.48,1,bumble,Apidae,NA,Bombus,Bombus sp.,Q,Apiary_8,269
Apiary_23_091120_P21,32.629999999999995,17.25,1,wild bee,Halictidae,NA,Agapostemon,Agapostemon sp.,U,Apiary_23,255
Apiary_23_091120_P2,32.64666666666667,20.58666667,1,syrphid,Syrphidae,Eristalinae,Eristalis,Eristalis transversa,F,Apiary_23,255
Apiary_26_090720_P1,32.699999999999996,21.975,1,syrphid,Syrphidae,Syrphinae,Toxomerus,Toxomerus politus,F,Apiary_26,251
Apiary_7_100520_P17,32.71333333333333,22.00333333,1,syrphid,Syrphidae,Eristalinae,Eristalis,Eristalis dimidiata,F,Apiary_7,279
Apiary_13_092320_P10,32.864999999999995,15.24,1,wild bee,Apidae,NA,Xylocopa,Xylocopa  virginica,F,Apiary_13,267
Apiary_8_091320_P3,33.084999999999994,21.59333333,1,syrphid,Syrphidae,Syrphinae,Toxomerus,Toxomerus geminatus,M,Apiary_8,257
Apiary_27_090720_P4,33.163333333333334,28.715,1,syrphid,Syrphidae,Syrphinae,unknown,unknown,M,Apiary_27,251
Apiary_26_090720_P27,33.254999999999995,14.7,1,wild bee,Halictidae,NA,unknown,unknown,U,Apiary_26,251
Apiary_13_090920_P8,33.47666666666667,2.333333333,1,wild bee,Andrenidae,NA,Andrena,Andrena sp.,F,Apiary_13,253
Apiary_13_090920_P18,33.480000000000004,14.57333333,1,wild bee,Halictidae,NA,unknown,unknown,U,Apiary_13,253
Apiary_13_090920_P11,33.53666666666667,23.15,1,syrphid,Syrphidae,Syrphinae,Sphaerophoria,Sphaerophoria sp.,F,Apiary_13,253
Apiary_26_090720_P28,33.556666666666665,24.86333333,1,syrphid,Syrphidae,Syrphinae,Toxomerus,Toxomerus politus,F,Apiary_26,251
Apiary_16_091020_P16,33.769999999999996,15.25333333,1,wild bee,Andrenidae,NA,Andrena,Andrena sp.,F,Apiary_16,254
Apiary_14_090920_P19,34.245000000000005,20.84666667,1,syrphid,Syrphidae,Syrphinae,Toxomerus,Toxomerus politus,F,Apiary_14,253
Apiary_10_091220_P14,34.254999999999995,19.94,1,wild bee,Halictidae,NA,Halictus,Halictus ligatus,F,Apiary_10,256
Apiary_10_091220_P8,34.30500000000001,27.4,1,wild bee,Megachilidae,NA,Megachile,Megachile sp.,M,Apiary_10,256
Apiary_3_092420_P4,34.480000000000004,15.47,1,wild bee,Apidae,NA,Melissodes,Melissodes sp.,U,Apiary_3,268
Apiary_27_090720_P6,34.858333333333334,14.41,1,wild bee,Halictidae,NA,unknown,unknown,U,Apiary_27,251
