Sample_ID,Sampling_Date,Julian_Day,Apiary_ID,Num_colonies,Percent_varroa,Virus_Screening
Apiary_1-225,9/22/2020,266,Apiary_1,28,6.96,Yes
Apiary_1-226,9/22/2020,266,Apiary_1,28,3.03,Yes
Apiary_1-227,9/22/2020,266,Apiary_1,28,1.8,Yes
Apiary_1-228,9/22/2020,266,Apiary_1,28,6.88,Yes
Apiary_2-201,9/14/2020,258,Apiary_2,58,0.43,Yes
Apiary_2-202,9/14/2020,258,Apiary_2,58,4.15,Yes
Apiary_2-203,9/14/2020,258,Apiary_2,58,0.58,Yes
Apiary_2-204,9/14/2020,258,Apiary_2,58,5.96,Yes
Apiary_3-221,9/21/2020,265,Apiary_3,44,11.65,Yes
Apiary_3-222,9/21/2020,265,Apiary_3,44,11.85,Yes
Apiary_3-223,9/21/2020,265,Apiary_3,44,6.77,Yes
Apiary_3-224,9/21/2020,265,Apiary_3,44,5.64,Yes
Apiary_4-431,9/18/2020,262,Apiary_4,30,2.25,Yes
Apiary_4-432,9/18/2020,262,Apiary_4,30,8.41,No
Apiary_4-433,9/18/2020,262,Apiary_4,30,33.51,Yes
Apiary_4-434,9/18/2020,262,Apiary_4,30,18.17,No
Apiary_4-435,9/18/2020,262,Apiary_4,30,16.98,Yes
Apiary_4-436,9/18/2020,262,Apiary_4,30,14.09,Yes
Apiary_5-421,9/18/2020,262,Apiary_5,49,3.27,No
Apiary_5-422,9/18/2020,262,Apiary_5,49,7.95,No
Apiary_5-423,9/18/2020,262,Apiary_5,49,8.67,Yes
Apiary_5-424,9/18/2020,262,Apiary_5,49,30.98,Yes
Apiary_5-425,9/18/2020,262,Apiary_5,49,12.69,Yes
Apiary_5-426,9/18/2020,262,Apiary_5,49,22.02,No
Apiary_5-427,9/18/2020,262,Apiary_5,49,13.42,No
Apiary_5-428,9/18/2020,262,Apiary_5,49,1.62,Yes
Apiary_5-429,9/18/2020,262,Apiary_5,49,3.8,No
Apiary_5-430,9/18/2020,262,Apiary_5,49,23.75,No
Apiary_6-205,9/16/2020,260,Apiary_6,32,0.79,Yes
Apiary_6-206,9/16/2020,260,Apiary_6,32,1.27,Yes
Apiary_6-207,9/16/2020,260,Apiary_6,32,2.79,Yes
Apiary_6-208,9/16/2020,260,Apiary_6,32,0,Yes
Apiary_7-121,9/23/2020,267,Apiary_7,28,5.49,Yes
Apiary_7-122,9/23/2020,267,Apiary_7,28,5.13,Yes
Apiary_7-123,9/23/2020,267,Apiary_7,28,2.36,Yes
Apiary_7-124,9/23/2020,267,Apiary_7,28,2.39,Yes
Apiary_9-351,9/15/2020,259,Apiary_9,40,1.46,No
Apiary_9-352,9/15/2020,259,Apiary_9,40,0.34,No
Apiary_9-353,9/15/2020,259,Apiary_9,40,1.42,No
Apiary_9-354,9/15/2020,259,Apiary_9,40,0.33,Yes
Apiary_9-355,9/15/2020,259,Apiary_9,40,2.33,Yes
Apiary_9-356,9/15/2020,259,Apiary_9,40,4.19,No
Apiary_9-357,9/15/2020,259,Apiary_9,40,1.85,Yes
Apiary_9-358,9/15/2020,259,Apiary_9,40,4.95,Yes
Apiary_9-359,9/15/2020,259,Apiary_9,40,2.59,No
Apiary_9-360,9/15/2020,259,Apiary_9,40,2.55,No
Apiary_10-341,9/15/2020,259,Apiary_10,24,8.49,No
Apiary_10-342,9/15/2020,259,Apiary_10,24,3.47,Yes
Apiary_10-343,9/15/2020,259,Apiary_10,24,12.28,Yes
Apiary_10-344,9/15/2020,259,Apiary_10,24,5.14,Yes
Apiary_10-345,9/15/2020,259,Apiary_10,24,8.16,No
Apiary_10-346,9/15/2020,259,Apiary_10,24,8.42,No
Apiary_10-347,9/15/2020,259,Apiary_10,24,2.24,No
Apiary_10-348,9/15/2020,259,Apiary_10,24,1.65,No
Apiary_10-349,9/15/2020,259,Apiary_10,24,2.55,No
Apiary_10-350,9/15/2020,259,Apiary_10,24,1.24,Yes
Apiary_11-109,9/15/2020,259,Apiary_11,7,14.11,Yes
Apiary_11-110,9/15/2020,259,Apiary_11,7,23.23,Yes
Apiary_11-111,9/15/2020,259,Apiary_11,7,0.54,Yes
Apiary_11-112,9/15/2020,259,Apiary_11,7,8.57,Yes
Apiary_12-117,9/22/2020,266,Apiary_12,15,4.53,Yes
Apiary_12-118,9/22/2020,266,Apiary_12,15,4.9,Yes
Apiary_12-119,9/22/2020,266,Apiary_12,15,3.43,Yes
Apiary_12-120,9/22/2020,266,Apiary_12,15,4.98,Yes
Apiary_13-381,9/16/2020,260,Apiary_13,19,0.55,Yes
Apiary_13-382,9/16/2020,260,Apiary_13,19,9.92,Yes
Apiary_13-383,9/16/2020,260,Apiary_13,19,3.92,Yes
Apiary_13-384,9/16/2020,260,Apiary_13,19,7.81,No
Apiary_13-385,9/16/2020,260,Apiary_13,19,1.15,No
Apiary_13-386,9/16/2020,260,Apiary_13,19,1.26,No
Apiary_13-387,9/16/2020,260,Apiary_13,19,6.11,No
Apiary_13-388,9/16/2020,260,Apiary_13,19,3.05,Yes
Apiary_13-389,9/16/2020,260,Apiary_13,19,4.45,No
Apiary_13-390,9/16/2020,260,Apiary_13,19,2.4,No
Apiary_14-391,9/16/2020,260,Apiary_14,15,4.28,No
Apiary_14-392,9/16/2020,260,Apiary_14,15,5.43,No
Apiary_14-393,9/16/2020,260,Apiary_14,15,2.64,Yes
Apiary_14-394,9/16/2020,260,Apiary_14,15,4.58,No
Apiary_14-395,9/16/2020,260,Apiary_14,15,2.22,No
Apiary_14-396,9/16/2020,260,Apiary_14,15,0.88,No
Apiary_14-397,9/16/2020,260,Apiary_14,15,2.63,Yes
Apiary_14-398,9/16/2020,260,Apiary_14,15,0.36,Yes
Apiary_14-399,9/16/2020,260,Apiary_14,15,0.92,No
Apiary_14-400,9/16/2020,260,Apiary_14,15,6.32,Yes
Apiary_8-101,9/14/2020,258,Apiary_8,27,0.96,No
Apiary_8-102,9/14/2020,258,Apiary_8,27,6.27,Yes
Apiary_8-103,9/14/2020,258,Apiary_8,27,3,No
Apiary_8-105,9/14/2020,258,Apiary_8,27,2.62,No
Apiary_8-104,9/14/2020,258,Apiary_8,27,2.62,Yes
Apiary_8-106,9/14/2020,258,Apiary_8,27,1.86,Yes
Apiary_8-107,9/14/2020,258,Apiary_8,27,1.77,No
Apiary_8-108,9/14/2020,258,Apiary_8,27,0.84,Yes
Apiary_15-125,9/25/2020,269,Apiary_15,22,4.59,Yes
Apiary_15-126,9/25/2020,269,Apiary_15,22,8.57,Yes
Apiary_15-127,9/25/2020,269,Apiary_15,22,12.38,Yes
Apiary_15-128,9/25/2020,269,Apiary_15,22,2.21,Yes
Apiary_16-209,9/16/2020,260,Apiary_16,13,2.62,Yes
Apiary_16-210,9/16/2020,260,Apiary_16,13,2.35,Yes
Apiary_16-211,9/16/2020,260,Apiary_16,13,0.98,Yes
Apiary_16-212,9/16/2020,260,Apiary_16,13,0,Yes
Apiary_17-361,9/16/2020,260,Apiary_17,28,1.97,No
Apiary_17-362,9/16/2020,260,Apiary_17,28,0.66,Yes
Apiary_17-363,9/16/2020,260,Apiary_17,28,0,Yes
Apiary_17-364,9/16/2020,260,Apiary_17,28,0.36,No
Apiary_17-365,9/16/2020,260,Apiary_17,28,1.47,No
Apiary_17-366,9/16/2020,260,Apiary_17,28,0,No
Apiary_17-367,9/16/2020,260,Apiary_17,28,1.11,No
Apiary_17-368,9/16/2020,260,Apiary_17,28,2.29,Yes
Apiary_17-369,9/16/2020,260,Apiary_17,28,0.37,No
Apiary_17-370,9/16/2020,260,Apiary_17,28,0.62,Yes
Apiary_18-371,9/16/2020,260,Apiary_18,33,1.19,Yes
Apiary_18-372,9/16/2020,260,Apiary_18,33,0,Yes
Apiary_18-373,9/16/2020,260,Apiary_18,33,3.82,Yes
Apiary_18-374,9/16/2020,260,Apiary_18,33,1.76,No
Apiary_18-375,9/16/2020,260,Apiary_18,33,1.87,No
Apiary_18-376,9/16/2020,260,Apiary_18,33,0,No
Apiary_18-377,9/16/2020,260,Apiary_18,33,0.63,No
Apiary_18-378,9/16/2020,260,Apiary_18,33,1.5,Yes
Apiary_18-379,9/16/2020,260,Apiary_18,33,1.6,No
Apiary_18-380,9/16/2020,260,Apiary_18,33,0.34,No
Apiary_19-411,9/17/2020,261,Apiary_19,32,3.49,No
Apiary_19-412,9/17/2020,261,Apiary_19,32,1.57,Yes
Apiary_19-413,9/17/2020,261,Apiary_19,32,2.7,No
Apiary_19-414,9/17/2020,261,Apiary_19,32,4.56,Yes
Apiary_19-415,9/17/2020,261,Apiary_19,32,0,Yes
Apiary_19-416,9/17/2020,261,Apiary_19,32,1.25,Yes
Apiary_19-417,9/17/2020,261,Apiary_19,32,0,No
Apiary_19-418,9/17/2020,261,Apiary_19,32,0.34,No
Apiary_19-419,9/17/2020,261,Apiary_19,32,2.62,No
Apiary_19-420,9/17/2020,261,Apiary_19,32,0,No
Apiary_20-401,9/17/2020,261,Apiary_20,32,0.31,Yes
Apiary_20-402,9/17/2020,261,Apiary_20,32,1.45,Yes
Apiary_20-403,9/17/2020,261,Apiary_20,32,1.79,Yes
Apiary_20-404,9/17/2020,261,Apiary_20,32,5.29,Yes
Apiary_20-405,9/17/2020,261,Apiary_20,32,0.37,No
Apiary_20-406,9/17/2020,261,Apiary_20,32,4.57,No
Apiary_20-407,9/17/2020,261,Apiary_20,32,4.14,No
Apiary_20-408,9/17/2020,261,Apiary_20,32,0.31,No
Apiary_20-409,9/17/2020,261,Apiary_20,32,1.07,No
Apiary_20-410,9/17/2020,261,Apiary_20,32,1.85,No
Apiary_21-321,9/14/2020,258,Apiary_21,39,3.02,No
Apiary_21-322,9/14/2020,258,Apiary_21,39,8.74,No
Apiary_21-323,9/14/2020,258,Apiary_21,39,1,Yes
Apiary_21-324,9/14/2020,258,Apiary_21,39,17.65,Yes
Apiary_21-325,9/14/2020,258,Apiary_21,39,3.42,No
Apiary_21-326,9/14/2020,258,Apiary_21,39,5.75,Yes
Apiary_21-327,9/14/2020,258,Apiary_21,39,16.69,No
Apiary_21-328,9/14/2020,258,Apiary_21,39,3.58,No
Apiary_21-329,9/14/2020,258,Apiary_21,39,6.48,No
Apiary_21-330,9/14/2020,258,Apiary_21,39,3.78,Yes
Apiary_22-229,9/24/2020,268,Apiary_22,10,4.12,Yes
Apiary_22-230,9/24/2020,268,Apiary_22,10,0,Yes
Apiary_22-231,9/24/2020,268,Apiary_22,10,0.32,Yes
Apiary_22-232,9/24/2020,268,Apiary_22,10,0,Yes
Apiary_23-113,9/15/2020,259,Apiary_23,11,9.11,Yes
Apiary_23-114,9/15/2020,259,Apiary_23,11,2.87,Yes
Apiary_23-115,9/15/2020,259,Apiary_23,11,3.04,Yes
Apiary_23-116,9/15/2020,259,Apiary_23,11,5.16,Yes
Apiary_24-213,9/17/2020,261,Apiary_24,23,0.56,Yes
Apiary_24-214,9/17/2020,261,Apiary_24,23,0.44,Yes
Apiary_24-215,9/17/2020,261,Apiary_24,23,0.59,Yes
Apiary_24-216,9/17/2020,261,Apiary_24,23,1.08,Yes
Apiary_25-217,9/18/2020,262,Apiary_25,37,0.72,Yes
Apiary_25-218,9/18/2020,262,Apiary_25,37,0,Yes
Apiary_25-219,9/18/2020,262,Apiary_25,37,0,Yes
Apiary_25-220,9/18/2020,262,Apiary_25,37,1.22,Yes
Apiary_26-311,9/14/2020,258,Apiary_26,36,2.89,No
Apiary_26-312,9/14/2020,258,Apiary_26,36,0.99,No
Apiary_26-313,9/14/2020,258,Apiary_26,36,3.37,Yes
Apiary_26-314,9/14/2020,258,Apiary_26,36,0.82,Yes
Apiary_26-315,9/14/2020,258,Apiary_26,36,6.91,Yes
Apiary_26-316,9/14/2020,258,Apiary_26,36,3.54,Yes
Apiary_26-317,9/14/2020,258,Apiary_26,36,4.03,No
Apiary_26-318,9/14/2020,258,Apiary_26,36,3.63,No
Apiary_26-319,9/14/2020,258,Apiary_26,36,3.09,No
Apiary_26-320,9/14/2020,258,Apiary_26,36,3.86,No
Apiary_27-301,9/14/2020,258,Apiary_27,29,0.32,No
Apiary_27-302,9/14/2020,258,Apiary_27,29,1.83,Yes
Apiary_27-303,9/14/2020,258,Apiary_27,29,0.7,No
Apiary_27-304,9/14/2020,258,Apiary_27,29,0,Yes
Apiary_27-305,9/14/2020,258,Apiary_27,29,1.16,No
Apiary_27-306,9/14/2020,258,Apiary_27,29,0.63,Yes
Apiary_27-307,9/14/2020,258,Apiary_27,29,0.66,Yes
Apiary_27-308,9/14/2020,258,Apiary_27,29,0.38,No
Apiary_27-309,9/14/2020,258,Apiary_27,29,0.86,No
Apiary_27-310,9/14/2020,258,Apiary_27,29,0.41,No
